date,score,country,term,translated_term,score_difference,date_str,orig_score_diff,display_term,renamed_term,iso_num,iso_alpha,score_diff_positive
2020-10-25,86,nl,coffee,koffie,5,2020-10-25,-5,coffee,coffee,533.0,NLD,negative
2020-11-01,82,nl,coffee,koffie,5,2020-11-01,-5,coffee,coffee,533.0,NLD,negative
2019-11-03,78,uk,coffee,coffee,3,2019-11-03,3,coffee,coffee,826.0,GBR,positive
2019-11-10,79,uk,coffee,coffee,3,2019-11-10,3,coffee,coffee,826.0,GBR,positive
2019-11-17,84,uk,coffee,coffee,0,2019-11-17,0,coffee,coffee,826.0,GBR,positive
2019-11-24,86,uk,coffee,coffee,6,2019-11-24,6,coffee,coffee,826.0,GBR,positive
2019-12-01,83,uk,coffee,coffee,8,2019-12-01,8,coffee,coffee,826.0,GBR,positive
2019-12-08,79,uk,coffee,coffee,1,2019-12-08,1,coffee,coffee,826.0,GBR,positive
2019-12-15,81,uk,coffee,coffee,4,2019-12-15,4,coffee,coffee,826.0,GBR,positive
2019-12-22,85,uk,coffee,coffee,4,2019-12-22,4,coffee,coffee,826.0,GBR,positive
2019-12-29,83,uk,coffee,coffee,3,2019-12-29,3,coffee,coffee,826.0,GBR,positive
2020-01-05,78,uk,coffee,coffee,5,2020-01-05,5,coffee,coffee,826.0,GBR,positive
2020-01-12,78,uk,coffee,coffee,3,2020-01-12,3,coffee,coffee,826.0,GBR,positive
2020-01-19,77,uk,coffee,coffee,6,2020-01-19,6,coffee,coffee,826.0,GBR,positive
2020-01-26,73,uk,coffee,coffee,2,2020-01-26,2,coffee,coffee,826.0,GBR,positive
2020-02-02,76,uk,coffee,coffee,4,2020-02-02,4,coffee,coffee,826.0,GBR,positive
2020-02-09,73,uk,coffee,coffee,1,2020-02-09,1,coffee,coffee,826.0,GBR,positive
2020-02-16,76,uk,coffee,coffee,2,2020-02-16,2,coffee,coffee,826.0,GBR,positive
2020-02-23,70,uk,coffee,coffee,3,2020-02-23,3,coffee,coffee,826.0,GBR,positive
2020-03-01,70,uk,coffee,coffee,0,2020-03-01,0,coffee,coffee,826.0,GBR,positive
2020-03-08,64,uk,coffee,coffee,6,2020-03-08,-6,coffee,coffee,826.0,GBR,negative
2020-03-15,60,uk,coffee,coffee,12,2020-03-15,-12,coffee,coffee,826.0,GBR,negative
2020-03-22,57,uk,coffee,coffee,15,2020-03-22,-15,coffee,coffee,826.0,GBR,negative
2020-03-29,77,uk,coffee,coffee,9,2020-03-29,9,coffee,coffee,826.0,GBR,positive
2020-04-05,83,uk,coffee,coffee,12,2020-04-05,12,coffee,coffee,826.0,GBR,positive
2020-04-12,80,uk,coffee,coffee,12,2020-04-12,12,coffee,coffee,826.0,GBR,positive
2020-04-19,79,uk,coffee,coffee,11,2020-04-19,11,coffee,coffee,826.0,GBR,positive
2020-04-26,78,uk,coffee,coffee,10,2020-04-26,10,coffee,coffee,826.0,GBR,positive
2020-05-03,81,uk,coffee,coffee,6,2020-05-03,6,coffee,coffee,826.0,GBR,positive
2020-05-10,81,uk,coffee,coffee,13,2020-05-10,13,coffee,coffee,826.0,GBR,positive
2020-05-17,85,uk,coffee,coffee,19,2020-05-17,19,coffee,coffee,826.0,GBR,positive
2020-05-24,84,uk,coffee,coffee,17,2020-05-24,17,coffee,coffee,826.0,GBR,positive
2020-05-31,80,uk,coffee,coffee,13,2020-05-31,13,coffee,coffee,826.0,GBR,positive
2020-06-07,83,uk,coffee,coffee,14,2020-06-07,14,coffee,coffee,826.0,GBR,positive
2020-06-14,81,uk,coffee,coffee,12,2020-06-14,12,coffee,coffee,826.0,GBR,positive
2020-06-21,78,uk,coffee,coffee,10,2020-06-21,10,coffee,coffee,826.0,GBR,positive
2020-06-28,81,uk,coffee,coffee,14,2020-06-28,14,coffee,coffee,826.0,GBR,positive
2020-07-05,81,uk,coffee,coffee,14,2020-07-05,14,coffee,coffee,826.0,GBR,positive
2020-07-12,78,uk,coffee,coffee,8,2020-07-12,8,coffee,coffee,826.0,GBR,positive
2020-07-19,81,uk,coffee,coffee,13,2020-07-19,13,coffee,coffee,826.0,GBR,positive
2020-07-26,82,uk,coffee,coffee,11,2020-07-26,11,coffee,coffee,826.0,GBR,positive
2020-08-02,82,uk,coffee,coffee,10,2020-08-02,10,coffee,coffee,826.0,GBR,positive
2020-08-09,78,uk,coffee,coffee,4,2020-08-09,4,coffee,coffee,826.0,GBR,positive
2020-08-16,82,uk,coffee,coffee,8,2020-08-16,8,coffee,coffee,826.0,GBR,positive
2020-08-23,84,uk,coffee,coffee,12,2020-08-23,12,coffee,coffee,826.0,GBR,positive
2020-08-30,86,uk,coffee,coffee,13,2020-08-30,13,coffee,coffee,826.0,GBR,positive
2020-09-06,85,uk,coffee,coffee,12,2020-09-06,12,coffee,coffee,826.0,GBR,positive
2020-09-13,81,uk,coffee,coffee,6,2020-09-13,6,coffee,coffee,826.0,GBR,positive
2020-09-20,84,uk,coffee,coffee,5,2020-09-20,5,coffee,coffee,826.0,GBR,positive
2020-09-27,85,uk,coffee,coffee,15,2020-09-27,-15,coffee,coffee,826.0,GBR,negative
2020-10-04,85,uk,coffee,coffee,10,2020-10-04,10,coffee,coffee,826.0,GBR,positive
2020-10-11,86,uk,coffee,coffee,11,2020-10-11,11,coffee,coffee,826.0,GBR,positive
2020-10-18,86,uk,coffee,coffee,11,2020-10-18,11,coffee,coffee,826.0,GBR,positive
2020-10-25,92,uk,coffee,coffee,18,2020-10-25,18,coffee,coffee,826.0,GBR,positive
2020-11-01,83,uk,coffee,coffee,5,2020-11-01,5,coffee,coffee,826.0,GBR,positive
2019-11-03,55,ger,cooking,kochen,7,2019-11-03,7,cooking,cooking,276.0,DEU,positive
2019-11-10,59,ger,cooking,kochen,11,2019-11-10,11,cooking,cooking,276.0,DEU,positive
2019-11-17,55,ger,cooking,kochen,9,2019-11-17,9,cooking,cooking,276.0,DEU,positive
2019-11-24,49,ger,cooking,kochen,5,2019-11-24,5,cooking,cooking,276.0,DEU,positive
2019-12-01,51,ger,cooking,kochen,7,2019-12-01,7,cooking,cooking,276.0,DEU,positive
2019-12-08,51,ger,cooking,kochen,4,2019-12-08,4,cooking,cooking,276.0,DEU,positive
2019-12-15,53,ger,cooking,kochen,3,2019-12-15,3,cooking,cooking,276.0,DEU,positive
2019-12-22,75,ger,cooking,kochen,14,2019-12-22,14,cooking,cooking,276.0,DEU,positive
2019-12-29,63,ger,cooking,kochen,6,2019-12-29,6,cooking,cooking,276.0,DEU,positive
2020-01-05,56,ger,cooking,kochen,6,2020-01-05,6,cooking,cooking,276.0,DEU,positive
2020-01-12,56,ger,cooking,kochen,7,2020-01-12,7,cooking,cooking,276.0,DEU,positive
2020-01-19,57,ger,cooking,kochen,7,2020-01-19,7,cooking,cooking,276.0,DEU,positive
2020-01-26,53,ger,cooking,kochen,4,2020-01-26,4,cooking,cooking,276.0,DEU,positive
2020-02-02,53,ger,cooking,kochen,5,2020-02-02,5,cooking,cooking,276.0,DEU,positive
2020-02-09,51,ger,cooking,kochen,5,2020-02-09,5,cooking,cooking,276.0,DEU,positive
2020-02-16,50,ger,cooking,kochen,6,2020-02-16,6,cooking,cooking,276.0,DEU,positive
2020-02-23,52,ger,cooking,kochen,10,2020-02-23,10,cooking,cooking,276.0,DEU,positive
2020-03-01,51,ger,cooking,kochen,5,2020-03-01,5,cooking,cooking,276.0,DEU,positive
2020-03-08,47,ger,cooking,kochen,1,2020-03-08,-1,cooking,cooking,276.0,DEU,negative
2020-03-15,50,ger,cooking,kochen,3,2020-03-15,3,cooking,cooking,276.0,DEU,positive
2020-03-22,63,ger,cooking,kochen,17,2020-03-22,17,cooking,cooking,276.0,DEU,positive
2020-03-29,72,ger,cooking,kochen,25,2020-03-29,25,cooking,cooking,276.0,DEU,positive
2020-04-05,100,ger,cooking,kochen,41,2020-04-05,41,cooking,cooking,276.0,DEU,positive
2020-04-12,84,ger,cooking,kochen,2,2020-04-12,2,cooking,cooking,276.0,DEU,positive
2020-04-19,78,ger,cooking,kochen,17,2020-04-19,17,cooking,cooking,276.0,DEU,positive
2020-04-26,82,ger,cooking,kochen,17,2020-04-26,17,cooking,cooking,276.0,DEU,positive
2020-05-03,73,ger,cooking,kochen,9,2020-05-03,9,cooking,cooking,276.0,DEU,positive
2020-05-10,74,ger,cooking,kochen,14,2020-05-10,14,cooking,cooking,276.0,DEU,positive
2020-05-17,67,ger,cooking,kochen,14,2020-05-17,14,cooking,cooking,276.0,DEU,positive
2020-05-24,60,ger,cooking,kochen,11,2020-05-24,11,cooking,cooking,276.0,DEU,positive
2020-05-31,59,ger,cooking,kochen,16,2020-05-31,16,cooking,cooking,276.0,DEU,positive
2020-06-07,58,ger,cooking,kochen,12,2020-06-07,12,cooking,cooking,276.0,DEU,positive
2020-06-14,54,ger,cooking,kochen,10,2020-06-14,10,cooking,cooking,276.0,DEU,positive
2020-06-21,49,ger,cooking,kochen,12,2020-06-21,12,cooking,cooking,276.0,DEU,positive
2020-06-28,48,ger,cooking,kochen,11,2020-06-28,11,cooking,cooking,276.0,DEU,positive
2020-07-05,48,ger,cooking,kochen,7,2020-07-05,7,cooking,cooking,276.0,DEU,positive
2020-07-12,49,ger,cooking,kochen,8,2020-07-12,8,cooking,cooking,276.0,DEU,positive
2020-07-19,47,ger,cooking,kochen,8,2020-07-19,8,cooking,cooking,276.0,DEU,positive
2020-07-26,48,ger,cooking,kochen,7,2020-07-26,7,cooking,cooking,276.0,DEU,positive
2020-08-02,48,ger,cooking,kochen,4,2020-08-02,4,cooking,cooking,276.0,DEU,positive
2020-08-09,45,ger,cooking,kochen,0,2020-08-09,0,cooking,cooking,276.0,DEU,positive
2020-08-16,47,ger,cooking,kochen,3,2020-08-16,3,cooking,cooking,276.0,DEU,positive
2020-08-23,53,ger,cooking,kochen,9,2020-08-23,9,cooking,cooking,276.0,DEU,positive
2020-08-30,51,ger,cooking,kochen,3,2020-08-30,3,cooking,cooking,276.0,DEU,positive
2020-09-06,52,ger,cooking,kochen,6,2020-09-06,6,cooking,cooking,276.0,DEU,positive
2020-09-13,48,ger,cooking,kochen,1,2020-09-13,1,cooking,cooking,276.0,DEU,positive
2020-09-20,53,ger,cooking,kochen,4,2020-09-20,4,cooking,cooking,276.0,DEU,positive
2020-09-27,54,ger,cooking,kochen,1,2020-09-27,-1,cooking,cooking,276.0,DEU,negative
2020-10-04,54,ger,cooking,kochen,2,2020-10-04,-2,cooking,cooking,276.0,DEU,negative
2020-10-11,61,ger,cooking,kochen,7,2020-10-11,7,cooking,cooking,276.0,DEU,positive
2020-10-18,61,ger,cooking,kochen,6,2020-10-18,6,cooking,cooking,276.0,DEU,positive
2020-10-25,59,ger,cooking,kochen,3,2020-10-25,3,cooking,cooking,276.0,DEU,positive
2020-11-01,56,ger,cooking,kochen,1,2020-11-01,1,cooking,cooking,276.0,DEU,positive
2019-11-03,59,nl,cooking,koken,4,2019-11-03,4,cooking,cooking,533.0,NLD,positive
2019-11-10,55,nl,cooking,koken,7,2019-11-10,7,cooking,cooking,533.0,NLD,positive
2019-11-17,55,nl,cooking,koken,5,2019-11-17,5,cooking,cooking,533.0,NLD,positive
2019-11-24,52,nl,cooking,koken,1,2019-11-24,-1,cooking,cooking,533.0,NLD,negative
2019-12-01,48,nl,cooking,koken,2,2019-12-01,2,cooking,cooking,533.0,NLD,positive
2019-12-08,50,nl,cooking,koken,1,2019-12-08,-1,cooking,cooking,533.0,NLD,negative
2019-12-15,49,nl,cooking,koken,1,2019-12-15,1,cooking,cooking,533.0,NLD,positive
2019-12-22,70,nl,cooking,koken,3,2019-12-22,-3,cooking,cooking,533.0,NLD,negative
2019-12-29,50,nl,cooking,koken,2,2019-12-29,-2,cooking,cooking,533.0,NLD,negative
2020-01-05,55,nl,cooking,koken,1,2020-01-05,-1,cooking,cooking,533.0,NLD,negative
2020-01-12,57,nl,cooking,koken,2,2020-01-12,2,cooking,cooking,533.0,NLD,positive
2020-01-19,54,nl,cooking,koken,4,2020-01-19,4,cooking,cooking,533.0,NLD,positive
2020-01-26,50,nl,cooking,koken,1,2020-01-26,1,cooking,cooking,533.0,NLD,positive
2020-02-02,55,nl,cooking,koken,1,2020-02-02,1,cooking,cooking,533.0,NLD,positive
2020-02-09,51,nl,cooking,koken,0,2020-02-09,0,cooking,cooking,533.0,NLD,positive
2020-02-16,51,nl,cooking,koken,1,2020-02-16,1,cooking,cooking,533.0,NLD,positive
2020-02-23,52,nl,cooking,koken,8,2020-02-23,8,cooking,cooking,533.0,NLD,positive
2020-03-01,47,nl,cooking,koken,3,2020-03-01,-3,cooking,cooking,533.0,NLD,negative
2020-03-08,46,nl,cooking,koken,3,2020-03-08,-3,cooking,cooking,533.0,NLD,negative
2020-03-15,53,nl,cooking,koken,5,2020-03-15,5,cooking,cooking,533.0,NLD,positive
2020-03-22,61,nl,cooking,koken,9,2020-03-22,9,cooking,cooking,533.0,NLD,positive
2020-03-29,71,nl,cooking,koken,16,2020-03-29,16,cooking,cooking,533.0,NLD,positive
2020-04-05,75,nl,cooking,koken,14,2020-04-05,14,cooking,cooking,533.0,NLD,positive
2020-04-12,100,nl,cooking,koken,33,2020-04-12,33,cooking,cooking,533.0,NLD,positive
2020-04-19,87,nl,cooking,koken,13,2020-04-19,13,cooking,cooking,533.0,NLD,positive
2020-04-26,89,nl,cooking,koken,21,2020-04-26,21,cooking,cooking,533.0,NLD,positive
2020-05-03,77,nl,cooking,koken,13,2020-05-03,13,cooking,cooking,533.0,NLD,positive
2020-05-10,81,nl,cooking,koken,20,2020-05-10,20,cooking,cooking,533.0,NLD,positive
2020-05-17,73,nl,cooking,koken,20,2020-05-17,20,cooking,cooking,533.0,NLD,positive
2020-05-24,60,nl,cooking,koken,5,2020-05-24,5,cooking,cooking,533.0,NLD,positive
2020-05-31,56,nl,cooking,koken,7,2020-05-31,7,cooking,cooking,533.0,NLD,positive
2020-06-07,61,nl,cooking,koken,10,2020-06-07,10,cooking,cooking,533.0,NLD,positive
2020-06-14,58,nl,cooking,koken,12,2020-06-14,12,cooking,cooking,533.0,NLD,positive
2020-06-21,47,nl,cooking,koken,7,2020-06-21,7,cooking,cooking,533.0,NLD,positive
2020-06-28,52,nl,cooking,koken,12,2020-06-28,12,cooking,cooking,533.0,NLD,positive
2020-07-05,52,nl,cooking,koken,9,2020-07-05,9,cooking,cooking,533.0,NLD,positive
2020-07-12,52,nl,cooking,koken,6,2020-07-12,6,cooking,cooking,533.0,NLD,positive
2020-07-19,53,nl,cooking,koken,12,2020-07-19,12,cooking,cooking,533.0,NLD,positive
2020-07-26,54,nl,cooking,koken,8,2020-07-26,8,cooking,cooking,533.0,NLD,positive
2020-08-02,53,nl,cooking,koken,2,2020-08-02,2,cooking,cooking,533.0,NLD,positive
2020-08-09,45,nl,cooking,koken,10,2020-08-09,-10,cooking,cooking,533.0,NLD,negative
2020-08-16,51,nl,cooking,koken,0,2020-08-16,0,cooking,cooking,533.0,NLD,positive
2020-08-23,54,nl,cooking,koken,7,2020-08-23,7,cooking,cooking,533.0,NLD,positive
2020-08-30,58,nl,cooking,koken,5,2020-08-30,5,cooking,cooking,533.0,NLD,positive
2020-09-06,59,nl,cooking,koken,7,2020-09-06,7,cooking,cooking,533.0,NLD,positive
2020-09-13,55,nl,cooking,koken,3,2020-09-13,3,cooking,cooking,533.0,NLD,positive
2020-09-20,57,nl,cooking,koken,1,2020-09-20,1,cooking,cooking,533.0,NLD,positive
2020-09-27,65,nl,cooking,koken,15,2020-09-27,15,cooking,cooking,533.0,NLD,positive
2020-10-04,64,nl,cooking,koken,12,2020-10-04,12,cooking,cooking,533.0,NLD,positive
2020-10-11,63,nl,cooking,koken,11,2020-10-11,11,cooking,cooking,533.0,NLD,positive
2020-10-18,66,nl,cooking,koken,14,2020-10-18,14,cooking,cooking,533.0,NLD,positive
2020-10-25,63,nl,cooking,koken,11,2020-10-25,11,cooking,cooking,533.0,NLD,positive
2020-11-01,59,nl,cooking,koken,0,2020-11-01,0,cooking,cooking,533.0,NLD,positive
2019-11-03,24,uk,cooking,cooking,1,2019-11-03,-1,cooking,cooking,826.0,GBR,negative
2019-11-10,24,uk,cooking,cooking,0,2019-11-10,0,cooking,cooking,826.0,GBR,positive
2019-11-17,25,uk,cooking,cooking,1,2019-11-17,1,cooking,cooking,826.0,GBR,positive
2019-11-24,24,uk,cooking,cooking,0,2019-11-24,0,cooking,cooking,826.0,GBR,positive
2019-12-01,23,uk,cooking,cooking,2,2019-12-01,-2,cooking,cooking,826.0,GBR,negative
2019-12-08,24,uk,cooking,cooking,1,2019-12-08,-1,cooking,cooking,826.0,GBR,negative
2019-12-15,31,uk,cooking,cooking,3,2019-12-15,-3,cooking,cooking,826.0,GBR,negative
2019-12-22,100,uk,cooking,cooking,0,2019-12-22,0,cooking,cooking,826.0,GBR,positive
2019-12-29,31,uk,cooking,cooking,1,2019-12-29,-1,cooking,cooking,826.0,GBR,negative
2020-01-05,27,uk,cooking,cooking,1,2020-01-05,1,cooking,cooking,826.0,GBR,positive
2020-01-12,26,uk,cooking,cooking,0,2020-01-12,0,cooking,cooking,826.0,GBR,positive
2020-01-19,25,uk,cooking,cooking,0,2020-01-19,0,cooking,cooking,826.0,GBR,positive
2020-01-26,24,uk,cooking,cooking,1,2020-01-26,1,cooking,cooking,826.0,GBR,positive
2020-02-02,23,uk,cooking,cooking,1,2020-02-02,-1,cooking,cooking,826.0,GBR,negative
2020-02-09,25,uk,cooking,cooking,0,2020-02-09,0,cooking,cooking,826.0,GBR,positive
2020-02-16,24,uk,cooking,cooking,2,2020-02-16,2,cooking,cooking,826.0,GBR,positive
2020-02-23,25,uk,cooking,cooking,2,2020-02-23,2,cooking,cooking,826.0,GBR,positive
2020-03-01,24,uk,cooking,cooking,0,2020-03-01,0,cooking,cooking,826.0,GBR,positive
2020-03-08,22,uk,cooking,cooking,3,2020-03-08,-3,cooking,cooking,826.0,GBR,negative
2020-03-15,24,uk,cooking,cooking,0,2020-03-15,0,cooking,cooking,826.0,GBR,positive
2020-03-22,34,uk,cooking,cooking,11,2020-03-22,11,cooking,cooking,826.0,GBR,positive
2020-03-29,40,uk,cooking,cooking,17,2020-03-29,17,cooking,cooking,826.0,GBR,positive
2020-04-05,44,uk,cooking,cooking,21,2020-04-05,21,cooking,cooking,826.0,GBR,positive
2020-04-12,50,uk,cooking,cooking,25,2020-04-12,25,cooking,cooking,826.0,GBR,positive
2020-04-19,41,uk,cooking,cooking,16,2020-04-19,16,cooking,cooking,826.0,GBR,positive
2020-04-26,40,uk,cooking,cooking,19,2020-04-26,19,cooking,cooking,826.0,GBR,positive
2020-05-03,39,uk,cooking,cooking,16,2020-05-03,16,cooking,cooking,826.0,GBR,positive
2020-05-10,36,uk,cooking,cooking,16,2020-05-10,16,cooking,cooking,826.0,GBR,positive
2020-05-17,33,uk,cooking,cooking,14,2020-05-17,14,cooking,cooking,826.0,GBR,positive
2020-05-24,32,uk,cooking,cooking,12,2020-05-24,12,cooking,cooking,826.0,GBR,positive
2020-05-31,29,uk,cooking,cooking,8,2020-05-31,8,cooking,cooking,826.0,GBR,positive
2020-06-07,29,uk,cooking,cooking,6,2020-06-07,6,cooking,cooking,826.0,GBR,positive
2020-06-14,28,uk,cooking,cooking,7,2020-06-14,7,cooking,cooking,826.0,GBR,positive
2020-06-21,27,uk,cooking,cooking,8,2020-06-21,8,cooking,cooking,826.0,GBR,positive
2020-06-28,26,uk,cooking,cooking,7,2020-06-28,7,cooking,cooking,826.0,GBR,positive
2020-07-05,27,uk,cooking,cooking,7,2020-07-05,7,cooking,cooking,826.0,GBR,positive
2020-07-12,25,uk,cooking,cooking,6,2020-07-12,6,cooking,cooking,826.0,GBR,positive
2020-07-19,26,uk,cooking,cooking,7,2020-07-19,7,cooking,cooking,826.0,GBR,positive
2020-07-26,25,uk,cooking,cooking,5,2020-07-26,5,cooking,cooking,826.0,GBR,positive
2020-08-02,26,uk,cooking,cooking,6,2020-08-02,6,cooking,cooking,826.0,GBR,positive
2020-08-09,24,uk,cooking,cooking,1,2020-08-09,1,cooking,cooking,826.0,GBR,positive
2020-08-16,26,uk,cooking,cooking,4,2020-08-16,4,cooking,cooking,826.0,GBR,positive
2020-08-23,26,uk,cooking,cooking,3,2020-08-23,3,cooking,cooking,826.0,GBR,positive
2020-08-30,27,uk,cooking,cooking,4,2020-08-30,4,cooking,cooking,826.0,GBR,positive
2020-09-06,27,uk,cooking,cooking,5,2020-09-06,5,cooking,cooking,826.0,GBR,positive
2020-09-13,27,uk,cooking,cooking,5,2020-09-13,5,cooking,cooking,826.0,GBR,positive
2020-09-20,26,uk,cooking,cooking,3,2020-09-20,3,cooking,cooking,826.0,GBR,positive
2020-09-27,29,uk,cooking,cooking,6,2020-09-27,6,cooking,cooking,826.0,GBR,positive
2020-10-04,28,uk,cooking,cooking,5,2020-10-04,5,cooking,cooking,826.0,GBR,positive
2020-10-11,28,uk,cooking,cooking,5,2020-10-11,5,cooking,cooking,826.0,GBR,positive
2020-10-18,29,uk,cooking,cooking,6,2020-10-18,6,cooking,cooking,826.0,GBR,positive
2020-10-25,29,uk,cooking,cooking,5,2020-10-25,5,cooking,cooking,826.0,GBR,positive
2020-11-01,27,uk,cooking,cooking,3,2020-11-01,3,cooking,cooking,826.0,GBR,positive
2019-11-03,2,uk,facemask,facemask,0,2019-11-03,0,face mask,face mask,826.0,GBR,positive
2019-11-10,2,uk,facemask,facemask,0,2019-11-10,0,face mask,face mask,826.0,GBR,positive
2019-11-17,3,uk,facemask,facemask,1,2019-11-17,1,face mask,face mask,826.0,GBR,positive
2019-11-24,2,uk,facemask,facemask,0,2019-11-24,0,face mask,face mask,826.0,GBR,positive
2019-12-01,3,uk,facemask,facemask,1,2019-12-01,1,face mask,face mask,826.0,GBR,positive
2019-12-08,3,uk,facemask,facemask,1,2019-12-08,1,face mask,face mask,826.0,GBR,positive
2019-12-15,3,uk,facemask,facemask,0,2019-12-15,0,face mask,face mask,826.0,GBR,positive
2019-12-22,2,uk,facemask,facemask,0,2019-12-22,0,face mask,face mask,826.0,GBR,positive
2019-12-29,3,uk,facemask,facemask,0,2019-12-29,0,face mask,face mask,826.0,GBR,positive
2020-01-05,2,uk,facemask,facemask,1,2020-01-05,-1,face mask,face mask,826.0,GBR,negative
2020-01-12,2,uk,facemask,facemask,0,2020-01-12,0,face mask,face mask,826.0,GBR,positive
2020-01-19,4,uk,facemask,facemask,2,2020-01-19,2,face mask,face mask,826.0,GBR,positive
2020-01-26,9,uk,facemask,facemask,7,2020-01-26,7,face mask,face mask,826.0,GBR,positive
2020-02-02,6,uk,facemask,facemask,4,2020-02-02,4,face mask,face mask,826.0,GBR,positive
2020-02-09,6,uk,facemask,facemask,4,2020-02-09,4,face mask,face mask,826.0,GBR,positive
2020-02-16,3,uk,facemask,facemask,0,2020-02-16,0,face mask,face mask,826.0,GBR,positive
2020-02-23,11,uk,facemask,facemask,9,2020-02-23,9,face mask,face mask,826.0,GBR,positive
2020-03-01,10,uk,facemask,facemask,8,2020-03-01,8,face mask,face mask,826.0,GBR,positive
2020-03-08,10,uk,facemask,facemask,8,2020-03-08,8,face mask,face mask,826.0,GBR,positive
2020-03-15,14,uk,facemask,facemask,12,2020-03-15,12,face mask,face mask,826.0,GBR,positive
2020-03-22,18,uk,facemask,facemask,16,2020-03-22,16,face mask,face mask,826.0,GBR,positive
2020-03-29,22,uk,facemask,facemask,20,2020-03-29,20,face mask,face mask,826.0,GBR,positive
2020-04-05,17,uk,facemask,facemask,15,2020-04-05,15,face mask,face mask,826.0,GBR,positive
2020-04-12,22,uk,facemask,facemask,20,2020-04-12,20,face mask,face mask,826.0,GBR,positive
2020-04-19,24,uk,facemask,facemask,22,2020-04-19,22,face mask,face mask,826.0,GBR,positive
2020-04-26,30,uk,facemask,facemask,28,2020-04-26,28,face mask,face mask,826.0,GBR,positive
2020-05-03,26,uk,facemask,facemask,24,2020-05-03,24,face mask,face mask,826.0,GBR,positive
2020-05-10,46,uk,facemask,facemask,44,2020-05-10,44,face mask,face mask,826.0,GBR,positive
2020-05-17,24,uk,facemask,facemask,22,2020-05-17,22,face mask,face mask,826.0,GBR,positive
2020-05-24,17,uk,facemask,facemask,15,2020-05-24,15,face mask,face mask,826.0,GBR,positive
2020-05-31,34,uk,facemask,facemask,32,2020-05-31,32,face mask,face mask,826.0,GBR,positive
2020-06-07,32,uk,facemask,facemask,30,2020-06-07,30,face mask,face mask,826.0,GBR,positive
2020-06-14,29,uk,facemask,facemask,27,2020-06-14,27,face mask,face mask,826.0,GBR,positive
2020-06-21,20,uk,facemask,facemask,18,2020-06-21,18,face mask,face mask,826.0,GBR,positive
2020-06-28,25,uk,facemask,facemask,23,2020-06-28,23,face mask,face mask,826.0,GBR,positive
2020-07-05,34,uk,facemask,facemask,32,2020-07-05,32,face mask,face mask,826.0,GBR,positive
2020-07-12,100,uk,facemask,facemask,98,2020-07-12,98,face mask,face mask,826.0,GBR,positive
2020-07-19,75,uk,facemask,facemask,73,2020-07-19,73,face mask,face mask,826.0,GBR,positive
2020-07-26,44,uk,facemask,facemask,42,2020-07-26,42,face mask,face mask,826.0,GBR,positive
2020-08-02,32,uk,facemask,facemask,30,2020-08-02,30,face mask,face mask,826.0,GBR,positive
2020-08-09,23,uk,facemask,facemask,21,2020-08-09,21,face mask,face mask,826.0,GBR,positive
2020-08-16,20,uk,facemask,facemask,18,2020-08-16,18,face mask,face mask,826.0,GBR,positive
2020-08-23,24,uk,facemask,facemask,22,2020-08-23,22,face mask,face mask,826.0,GBR,positive
2020-08-30,21,uk,facemask,facemask,19,2020-08-30,19,face mask,face mask,826.0,GBR,positive
2020-09-06,19,uk,facemask,facemask,17,2020-09-06,17,face mask,face mask,826.0,GBR,positive
2020-09-13,19,uk,facemask,facemask,17,2020-09-13,17,face mask,face mask,826.0,GBR,positive
2020-09-20,27,uk,facemask,facemask,25,2020-09-20,25,face mask,face mask,826.0,GBR,positive
2020-09-27,22,uk,facemask,facemask,20,2020-09-27,20,face mask,face mask,826.0,GBR,positive
2020-10-04,19,uk,facemask,facemask,17,2020-10-04,17,face mask,face mask,826.0,GBR,positive
2020-10-11,18,uk,facemask,facemask,16,2020-10-11,16,face mask,face mask,826.0,GBR,positive
2020-10-18,16,uk,facemask,facemask,14,2020-10-18,14,face mask,face mask,826.0,GBR,positive
2020-10-25,18,uk,facemask,facemask,15,2020-10-25,15,face mask,face mask,826.0,GBR,positive
2020-11-01,16,uk,facemask,facemask,14,2020-11-01,14,face mask,face mask,826.0,GBR,positive
2019-11-03,4,ger,facemask,maske,0,2019-11-03,0,face mask,face mask,276.0,DEU,positive
2019-11-10,4,ger,facemask,maske,0,2019-11-10,0,face mask,face mask,276.0,DEU,positive
2019-11-17,4,ger,facemask,maske,0,2019-11-17,0,face mask,face mask,276.0,DEU,positive
2019-11-24,4,ger,facemask,maske,0,2019-11-24,0,face mask,face mask,276.0,DEU,positive
2019-12-01,4,ger,facemask,maske,0,2019-12-01,0,face mask,face mask,276.0,DEU,positive
2019-12-08,4,ger,facemask,maske,0,2019-12-08,0,face mask,face mask,276.0,DEU,positive
2019-12-15,4,ger,facemask,maske,0,2019-12-15,0,face mask,face mask,276.0,DEU,positive
2019-12-22,4,ger,facemask,maske,1,2019-12-22,-1,face mask,face mask,276.0,DEU,negative
2019-12-29,4,ger,facemask,maske,1,2019-12-29,-1,face mask,face mask,276.0,DEU,negative
2020-01-05,4,ger,facemask,maske,0,2020-01-05,0,face mask,face mask,276.0,DEU,positive
2020-01-12,4,ger,facemask,maske,1,2020-01-12,-1,face mask,face mask,276.0,DEU,negative
2020-01-19,5,ger,facemask,maske,0,2020-01-19,0,face mask,face mask,276.0,DEU,positive
